id,label,variant,pyzbar,opencv,zxing-cpp,stock_ms,any_stock,qs_ms,qs_image,qs_step,qs_full
0,1,plain,True,True,True,199.68358400001307,True,6.103571000039665,True,raw_gray,True
0,1,inverted_color,False,False,True,37.36708599990379,True,6.057279000060589,True,raw_gray,True
0,1,logo,True,True,True,54.50739499997326,True,7.286852999868643,True,raw_gray,True
0,1,styled,True,True,True,66.18935000005877,True,9.392286000093009,True,raw_gray,True
0,1,ascii,False,False,True,38.70281100012107,True,5.160752999927354,True,raw_gray,True
1,1,plain,True,True,True,43.44547499999862,True,6.121934000020701,True,raw_gray,True
1,1,inverted_color,False,False,True,38.57311000001573,True,6.820612999945297,True,raw_gray,True
1,1,logo,True,True,True,53.19804600003408,True,7.5400129999252385,True,raw_gray,True
1,1,styled,True,True,True,55.301361999909204,True,8.93424499986395,True,raw_gray,True
1,1,ascii,False,True,True,37.68208000019513,True,4.77847499996642,True,raw_gray,True
2,1,plain,True,True,True,60.59279500004777,True,10.286570000062056,True,raw_gray,True
2,1,inverted_color,False,False,True,53.34282700005133,True,11.36139400000502,True,raw_gray,True
2,1,logo,True,True,True,88.620020999997,True,19.274637999842525,True,raw_gray,True
2,1,styled,True,True,True,136.36734600004274,True,13.421870000001945,True,raw_gray,True
2,1,ascii,False,True,True,106.99077100002796,True,20.555436999984522,True,raw_gray,True
3,1,plain,True,True,True,226.2266179998278,True,18.714980999902764,True,raw_gray,True
3,1,inverted_color,False,False,True,213.1927979999091,True,27.003585000102248,True,raw_gray,True
3,1,logo,True,False,True,269.6867790000397,True,31.727477000004,True,raw_gray,True
3,1,styled,True,True,True,271.6175169998678,True,56.937438999966616,True,raw_gray,True
3,1,ascii,True,True,True,208.2744519998414,True,27.71856399999706,True,raw_gray,True
4,1,plain,True,True,True,186.51050400012537,True,32.2615229999883,True,raw_gray,True
4,1,inverted_color,False,False,True,92.75296499981778,True,23.04707200005396,True,raw_gray,True
4,1,logo,True,True,True,209.05421599991314,True,22.394521000023815,True,raw_gray,True
4,1,styled,True,True,True,155.5595810000341,True,30.450401000052807,True,raw_gray,True
4,1,ascii,False,True,True,44.196231000114494,True,11.4945830000579,True,raw_gray,True
5,1,plain,True,True,True,242.45322999991004,True,43.27962399997887,True,raw_gray,True
5,1,inverted_color,False,False,True,127.88371700003154,True,13.011163999863129,True,raw_gray,True
5,1,logo,True,True,True,169.79902599996421,True,24.69033399984255,True,raw_gray,True
5,1,styled,True,True,True,116.22010400014915,True,19.493787000101293,True,raw_gray,True
5,1,ascii,False,True,True,90.24069499992038,True,20.021846999952686,True,raw_gray,True
6,1,plain,True,True,True,51.283301000012216,True,6.901433999928486,True,raw_gray,True
6,1,inverted_color,False,False,True,72.05043899989505,True,7.720842000026096,True,raw_gray,True
6,1,logo,True,True,True,79.19205799998963,True,10.114717000078599,True,raw_gray,True
6,1,styled,True,True,True,70.2400459999808,True,12.282124999956068,True,raw_gray,True
6,1,ascii,True,True,True,56.48568299989165,True,5.654155999991417,True,raw_gray,True
7,1,plain,True,True,True,44.61430400010613,True,5.441363000045385,True,raw_gray,True
7,1,inverted_color,False,False,True,35.757886000055805,True,6.075755999972898,True,raw_gray,True
7,1,logo,True,True,True,56.67960200003108,True,8.901797999897099,True,raw_gray,True
